Case_ID,Customer_ID,Transaction_ID,Date_Raised,Payment_Method,Dispute_Type,Transaction_Amount,Merchant_Category,Transaction_Status,Customer_Claim,Evidence_Available,Risk_Level,Refund_Eligibility,Case_Status,SLA_Target_Days,Actual_Resolution_Days,SLA_Breached,Assigned_Team,Refund_Amount,Root_Cause,Customer_Sentiment
DSP-0186,CUST-4678,TXN-437433,2026-03-05,Card,Wrong Amount Debited,28.17,Travel,Success,The wrong amount was debited from my account. Please investigate.,Yes,Medium,Manual Review,Resolved,5,9,Yes,Payment Operations,0,System Mapping Error,Negative
DSP-0187,CUST-7568,TXN-172274,2026-04-30,Open Banking,Unauthorised Transaction,29.9,Bills & Utilities,Success,I do not recognise this transaction and did not authorise it.,Yes,High,Manual Review,Resolved,10,12,Yes,Fraud Review,22.42,Manual Follow-up Delay,Negative
DSP-0188,CUST-9954,TXN-897423,2026-03-04,Card,Chargeback Request,77.22,Food Delivery,Pending,The service was not provided and I want to raise a chargeback.,Yes,Medium,Manual Review,Resolved,10,1,No,Payment Operations,0,Manual Follow-up Delay,Positive
DSP-0189,CUST-4361,TXN-655550,2026-03-02,Card,Chargeback Request,28.91,Retail,Pending,The service was not provided and I want to raise a chargeback.,Yes,Medium,Manual Review,Resolved,10,8,No,Payment Operations,0,Manual Follow-up Delay,Negative
DSP-0190,CUST-7461,TXN-178465,2026-05-26,Card,Merchant Not Credited,18.91,Transport,Success,I paid successfully but the merchant has no confirmation.,No,Medium,Manual Review,In Review,7,8,Yes,Merchant Support,0,Gateway Timeout,Negative
DSP-0191,CUST-8417,TXN-385166,2026-03-01,Card,Duplicate Debit,108.09,Retail,Success,There are two debits for one order. Please refund the duplicate amount.,Yes,Low,Eligible,Resolved,5,2,No,Refund Team,108.09,Duplicate Processing,Neutral
DSP-0192,CUST-6051,TXN-585854,2026-03-09,Open Banking,Failed Payment,77.07,E-commerce,Failed,My payment of £77.07 failed but the money was debited.,Yes,Medium,Eligible,Resolved,5,7,Yes,Payment Operations,77.07,Bank Reversal Delay,Negative
DSP-0193,CUST-6828,TXN-515492,2026-05-12,Card,Duplicate Debit,71.16,Bills & Utilities,Pending,I was charged twice for the same payment of £71.16.,Yes,Low,Eligible,Resolved,5,1,No,Refund Team,71.16,Duplicate Processing,Neutral
DSP-0194,CUST-1195,TXN-164664,2026-02-26,Card,Unauthorised Transaction,24.44,E-commerce,Success,This payment was made without my permission.,Yes,High,Manual Review,Resolved,10,10,No,Fraud Review,24.44,Fraud Indicator,Negative
DSP-0195,CUST-3110,TXN-196446,2026-03-26,Card,Chargeback Request,28.4,Bills & Utilities,Success,The service was not provided and I want to raise a chargeback.,Yes,Medium,Manual Review,Resolved,10,2,No,Payment Operations,14.2,Merchant Settlement Delay,Neutral
DSP-0196,CUST-5835,TXN-623125,2026-04-16,Open Banking,Refund Delay,15.27,Bills & Utilities,Success,The merchant said the refund was processed but I have not received it.,No,Medium,Manual Review,Resolved,7,14,Yes,Refund Team,0,Manual Follow-up Delay,Negative
DSP-0197,CUST-7266,TXN-919898,2026-04-02,Bank Transfer,Unauthorised Transaction,23.96,Travel,Success,I do not recognise this transaction and did not authorise it.,Yes,High,Manual Review,In Review,10,10,No,Fraud Review,0,Customer Evidence Missing,Negative
DSP-0198,CUST-8728,TXN-655149,2026-04-02,Wallet,Chargeback Request,55.25,Transport,Pending,"The merchant refused refund, so I need a chargeback review.",No,Medium,Manual Review,Resolved,10,8,No,Payment Operations,0,Merchant Settlement Delay,Negative
DSP-0199,CUST-6813,TXN-979988,2026-02-14,Card,Merchant Not Credited,177.1,Subscription,Success,I paid successfully but the merchant has no confirmation.,Yes,Medium,Manual Review,Resolved,7,4,No,Merchant Support,0,Gateway Timeout,Positive
DSP-0200,CUST-3876,TXN-614259,2026-01-10,Card,Duplicate Debit,17.02,Food Delivery,Success,There are two debits for one order. Please refund the duplicate amount.,Yes,Low,Eligible,In Review,5,1,No,Refund Team,0,Duplicate Processing,Neutral
DSP-0201,CUST-1975,TXN-122977,2026-02-07,Bank Transfer,APP Scam Claim,34.15,Travel,Success,I believe I have been scammed through a bank transfer.,No,High,Manual Review,Awaiting Evidence,10,19,Yes,Fraud Review,0,Manual Follow-up Delay,Negative
DSP-0202,CUST-3854,TXN-841535,2026-05-24,Wallet,Chargeback Request,69.32,Subscription,Pending,"The merchant refused refund, so I need a chargeback review.",Yes,Medium,Manual Review,Resolved,10,4,No,Payment Operations,69.32,Manual Follow-up Delay,Neutral
DSP-0203,CUST-1530,TXN-290926,2026-03-23,Open Banking,Chargeback Request,15.85,Bills & Utilities,Success,"The merchant refused refund, so I need a chargeback review.",No,Medium,Manual Review,Resolved,10,7,No,Payment Operations,0,Merchant Settlement Delay,Positive
DSP-0204,CUST-1186,TXN-378095,2026-02-23,Card,Failed Payment,27.17,Food Delivery,Success,The transaction failed and I still cannot see my money returned.,Yes,Medium,Manual Review,In Review,5,8,Yes,Payment Operations,0,Bank Reversal Delay,Negative
DSP-0205,CUST-7204,TXN-468292,2026-05-20,Card,Unauthorised Transaction,109.71,Transport,Failed,I do not recognise this transaction and did not authorise it.,Yes,High,Manual Review,Resolved,10,11,Yes,Fraud Review,54.85,Fraud Indicator,Negative
DSP-0206,CUST-6600,TXN-278368,2026-04-07,Card,Failed Payment,30.29,Subscription,Pending,The transaction failed and I still cannot see my money returned.,Yes,Medium,Manual Review,Resolved,5,5,No,Payment Operations,0,Gateway Timeout,Positive
DSP-0207,CUST-5612,TXN-411847,2026-03-02,Card,Refund Delay,46.63,Food Delivery,Success,My refund of £46.63 is still pending after several days.,Yes,Medium,Manual Review,Resolved,7,7,No,Refund Team,23.32,Merchant Settlement Delay,Neutral
DSP-0208,CUST-2342,TXN-596574,2026-01-30,Card,Refund Delay,38.59,Food Delivery,Failed,My refund of £38.59 is still pending after several days.,Yes,Medium,Manual Review,In Review,7,2,No,Refund Team,0,Merchant Settlement Delay,Neutral
DSP-0209,CUST-1731,TXN-376085,2026-04-23,Bank Transfer,Duplicate Debit,28.23,Transport,Failed,I was charged twice for the same payment of £28.23.,Yes,Low,Eligible,Resolved,5,1,No,Refund Team,28.23,Duplicate Processing,Neutral
DSP-0210,CUST-7342,TXN-958160,2026-05-14,Card,Merchant Not Credited,112.02,Retail,Success,The money left my account but the merchant says they did not receive it.,Yes,Medium,Manual Review,Resolved,7,3,No,Merchant Support,0,Gateway Timeout,Neutral
DSP-0211,CUST-8357,TXN-281276,2026-02-12,Open Banking,Unauthorised Transaction,15.72,E-commerce,Success,I do not recognise this transaction and did not authorise it.,No,High,Manual Review,Resolved,10,16,Yes,Fraud Review,0,Manual Follow-up Delay,Negative
DSP-0212,CUST-7358,TXN-683390,2026-04-12,Bank Transfer,APP Scam Claim,57.2,Food Delivery,Pending,I believe I have been scammed through a bank transfer.,Yes,High,Manual Review,Open,10,14,Yes,Fraud Review,0,Manual Follow-up Delay,Negative
DSP-0213,CUST-3451,TXN-255398,2026-05-26,Bank Transfer,Unauthorised Transaction,44.78,Travel,Pending,This payment was made without my permission.,No,High,Manual Review,Resolved,10,13,Yes,Fraud Review,22.39,Customer Evidence Missing,Negative
DSP-0214,CUST-7602,TXN-250840,2026-04-13,Card,APP Scam Claim,29.3,E-commerce,Success,I believe I have been scammed through a bank transfer.,Yes,High,Manual Review,Resolved,10,15,Yes,Fraud Review,29.3,Customer Evidence Missing,Negative
DSP-0215,CUST-2609,TXN-339030,2026-02-04,Card,Wrong Amount Debited,72.85,E-commerce,Success,The wrong amount was debited from my account. Please investigate.,Yes,Medium,Manual Review,Resolved,5,1,No,Payment Operations,72.85,System Mapping Error,Positive
DSP-0216,CUST-9442,TXN-929937,2026-02-10,Card,Wrong Amount Debited,21.29,Subscription,Pending,The wrong amount was debited from my account. Please investigate.,Yes,Medium,Manual Review,Open,5,8,Yes,Payment Operations,0,System Mapping Error,Negative
DSP-0217,CUST-5087,TXN-134677,2026-04-27,Card,Refund Delay,20.19,Bills & Utilities,Failed,My refund of £20.19 is still pending after several days.,Yes,Medium,Manual Review,Resolved,7,5,No,Refund Team,15.14,Bank Reversal Delay,Positive
DSP-0218,CUST-3679,TXN-978343,2026-03-08,Wallet,Wrong Amount Debited,24.27,Retail,Pending,The wrong amount was debited from my account. Please investigate.,No,Medium,Manual Review,Awaiting Evidence,5,6,Yes,Payment Operations,0,System Mapping Error,Negative
DSP-0219,CUST-4387,TXN-382154,2026-04-15,Bank Transfer,APP Scam Claim,38.72,Retail,Failed,I believe I have been scammed through a bank transfer.,Yes,High,Manual Review,Resolved,10,5,No,Fraud Review,38.72,Customer Evidence Missing,Negative
DSP-0220,CUST-8520,TXN-364239,2026-02-25,Bank Transfer,Wrong Amount Debited,88.63,Food Delivery,Success,I authorised a lower amount but a higher amount was taken.,No,Medium,Manual Review,Resolved,5,4,No,Payment Operations,0,Customer Input Error,Positive
DSP-0221,CUST-2771,TXN-605139,2026-01-17,Card,Duplicate Debit,28.43,E-commerce,Failed,There are two debits for one order. Please refund the duplicate amount.,No,Medium,Manual Review,Resolved,5,8,Yes,Refund Team,0,Duplicate Processing,Negative
DSP-0222,CUST-6236,TXN-813824,2026-02-05,Wallet,Merchant Not Credited,33.31,Food Delivery,Failed,I paid successfully but the merchant has no confirmation.,No,Medium,Manual Review,Resolved,7,12,Yes,Merchant Support,0,Merchant Settlement Delay,Negative
DSP-0223,CUST-6873,TXN-631958,2026-03-18,Open Banking,Unauthorised Transaction,79.08,Food Delivery,Success,I do not recognise this transaction and did not authorise it.,No,High,Manual Review,Resolved,10,15,Yes,Fraud Review,39.54,Manual Follow-up Delay,Negative
DSP-0224,CUST-6820,TXN-334176,2026-03-20,Bank Transfer,APP Scam Claim,25.75,Bills & Utilities,Pending,I was tricked into sending money and need urgent help.,Yes,High,Manual Review,Resolved,10,6,No,Fraud Review,12.88,Manual Follow-up Delay,Negative
DSP-0225,CUST-7253,TXN-655575,2026-03-18,Card,APP Scam Claim,30.3,Bills & Utilities,Success,I was tricked into sending money and need urgent help.,No,High,Manual Review,Open,10,12,Yes,Fraud Review,0,Fraud Indicator,Negative
DSP-0226,CUST-8105,TXN-764259,2026-04-20,Card,Chargeback Request,33.89,Retail,Failed,The service was not provided and I want to raise a chargeback.,No,Medium,Manual Review,Resolved,10,8,No,Payment Operations,16.95,Customer Evidence Missing,Negative
DSP-0227,CUST-5076,TXN-337256,2026-03-30,Card,Failed Payment,40.73,Food Delivery,Pending,The transaction failed and I still cannot see my money returned.,Yes,Medium,Manual Review,Resolved,5,2,No,Payment Operations,40.73,Bank Reversal Delay,Neutral
DSP-0228,CUST-9031,TXN-476701,2026-02-18,Card,APP Scam Claim,40.76,E-commerce,Failed,I was tricked into sending money and need urgent help.,Yes,High,Manual Review,Resolved,10,11,Yes,Fraud Review,20.38,Manual Follow-up Delay,Negative
DSP-0229,CUST-2771,TXN-785315,2026-01-06,Card,Failed Payment,36.87,Travel,Success,My payment of £36.87 failed but the money was debited.,Yes,Medium,Manual Review,Resolved,5,5,No,Payment Operations,36.87,System Mapping Error,Positive
DSP-0230,CUST-7862,TXN-971002,2026-01-27,Bank Transfer,Merchant Not Credited,9.28,Bills & Utilities,Success,I paid successfully but the merchant has no confirmation.,Yes,Medium,Manual Review,Open,7,7,No,Merchant Support,0,Incorrect Merchant Reference,Positive
DSP-0231,CUST-5839,TXN-268163,2026-01-11,Bank Transfer,APP Scam Claim,68.61,Retail,Success,I was tricked into sending money and need urgent help.,Yes,High,Manual Review,Resolved,10,13,Yes,Fraud Review,68.61,Fraud Indicator,Negative
DSP-0232,CUST-2659,TXN-368322,2026-03-01,Bank Transfer,Chargeback Request,28.16,Transport,Success,The service was not provided and I want to raise a chargeback.,Yes,Medium,Manual Review,Resolved,10,2,No,Payment Operations,0,Customer Evidence Missing,Positive
DSP-0233,CUST-2556,TXN-992596,2026-01-12,Card,Failed Payment,55.69,Bills & Utilities,Pending,The transaction failed and I still cannot see my money returned.,Yes,Medium,Manual Review,Resolved,5,10,Yes,Payment Operations,41.77,System Mapping Error,Negative
DSP-0234,CUST-7319,TXN-823415,2026-05-03,Wallet,Merchant Not Credited,65.9,E-commerce,Failed,I paid successfully but the merchant has no confirmation.,No,Medium,Manual Review,Resolved,7,14,Yes,Merchant Support,0,Merchant Settlement Delay,Negative
DSP-0235,CUST-8178,TXN-290065,2026-04-08,Wallet,Merchant Not Credited,38.54,Bills & Utilities,Success,I paid successfully but the merchant has no confirmation.,Yes,Medium,Manual Review,Resolved,7,6,No,Merchant Support,0,Gateway Timeout,Neutral
DSP-0236,CUST-9504,TXN-648513,2026-01-25,Bank Transfer,Wrong Amount Debited,37.4,E-commerce,Success,I authorised a lower amount but a higher amount was taken.,No,Medium,Manual Review,Resolved,5,13,Yes,Payment Operations,0,System Mapping Error,Negative
DSP-0237,CUST-9123,TXN-273438,2026-01-20,Wallet,Duplicate Debit,28.74,Subscription,Success,I was charged twice for the same payment of £28.74.,Yes,Low,Eligible,Resolved,5,1,No,Refund Team,28.74,Duplicate Processing,Positive
DSP-0238,CUST-9166,TXN-568784,2026-03-22,Card,Refund Delay,51.9,Bills & Utilities,Success,The merchant said the refund was processed but I have not received it.,No,Medium,Manual Review,Awaiting Evidence,7,7,No,Refund Team,0,Bank Reversal Delay,Positive
DSP-0239,CUST-8474,TXN-457411,2026-04-04,Wallet,Unauthorised Transaction,85.76,Transport,Failed,This payment was made without my permission.,Yes,High,Manual Review,Resolved,10,8,No,Fraud Review,85.76,Manual Follow-up Delay,Negative
DSP-0240,CUST-9973,TXN-647341,2026-04-06,Wallet,Failed Payment,22.88,E-commerce,Failed,My payment of £22.88 failed but the money was debited.,Yes,Medium,Eligible,Resolved,5,8,Yes,Payment Operations,22.88,Bank Reversal Delay,Negative
DSP-0241,CUST-2978,TXN-993590,2026-04-11,Card,Unauthorised Transaction,20.46,Transport,Success,I do not recognise this transaction and did not authorise it.,No,High,Manual Review,Resolved,10,9,No,Fraud Review,0,Manual Follow-up Delay,Negative
DSP-0242,CUST-9172,TXN-104548,2026-05-16,Wallet,Merchant Not Credited,31.94,Subscription,Pending,The money left my account but the merchant says they did not receive it.,No,Medium,Manual Review,Resolved,7,8,Yes,Merchant Support,0,Gateway Timeout,Negative
DSP-0243,CUST-2696,TXN-506224,2026-03-24,Bank Transfer,Refund Delay,68.49,Travel,Pending,My refund of £68.49 is still pending after several days.,No,Medium,Manual Review,Awaiting Evidence,7,8,Yes,Refund Team,0,Bank Reversal Delay,Negative
DSP-0244,CUST-9975,TXN-429159,2026-05-22,Bank Transfer,Duplicate Debit,52.21,Travel,Pending,I was charged twice for the same payment of £52.21.,Yes,Low,Eligible,Resolved,5,6,Yes,Refund Team,52.21,Duplicate Processing,Negative
DSP-0245,CUST-9255,TXN-668843,2026-03-24,Wallet,Unauthorised Transaction,50.28,E-commerce,Failed,I do not recognise this transaction and did not authorise it.,No,High,Manual Review,Awaiting Evidence,10,9,No,Fraud Review,0,Manual Follow-up Delay,Negative
DSP-0246,CUST-1414,TXN-499371,2026-02-07,Card,Failed Payment,8.29,Travel,Failed,The transaction failed and I still cannot see my money returned.,Yes,Medium,Eligible,Resolved,5,11,Yes,Payment Operations,8.29,Gateway Timeout,Negative
DSP-0247,CUST-4342,TXN-890200,2026-05-19,Card,Unauthorised Transaction,90.53,Retail,Failed,This payment was made without my permission.,No,High,Manual Review,In Review,10,12,Yes,Fraud Review,0,Manual Follow-up Delay,Negative
DSP-0248,CUST-6122,TXN-678944,2026-01-14,Card,Duplicate Debit,90.24,Transport,Success,There are two debits for one order. Please refund the duplicate amount.,Yes,Low,Eligible,Resolved,5,7,Yes,Refund Team,90.24,Duplicate Processing,Negative
DSP-0249,CUST-9955,TXN-874320,2026-02-20,Wallet,Chargeback Request,28.08,E-commerce,Success,The service was not provided and I want to raise a chargeback.,No,Medium,Manual Review,Resolved,10,6,No,Payment Operations,0,Manual Follow-up Delay,Neutral
DSP-0250,CUST-5178,TXN-105919,2026-03-26,Bank Transfer,Chargeback Request,75.5,E-commerce,Failed,The service was not provided and I want to raise a chargeback.,No,Medium,Manual Review,Awaiting Evidence,10,5,No,Payment Operations,0,Customer Evidence Missing,Positive
DSP-0251,CUST-6207,TXN-650916,2026-02-26,Open Banking,Merchant Not Credited,66.46,Subscription,Failed,I paid successfully but the merchant has no confirmation.,Yes,Medium,Manual Review,Resolved,7,11,Yes,Merchant Support,66.46,Merchant Settlement Delay,Negative
DSP-0252,CUST-1144,TXN-220294,2026-03-30,Bank Transfer,APP Scam Claim,62.65,Food Delivery,Failed,I was tricked into sending money and need urgent help.,Yes,High,Manual Review,Resolved,10,8,No,Fraud Review,46.99,Fraud Indicator,Negative
DSP-0253,CUST-9468,TXN-962043,2026-04-06,Bank Transfer,Refund Delay,39.36,E-commerce,Success,The merchant said the refund was processed but I have not received it.,Yes,Medium,Manual Review,Resolved,7,9,Yes,Refund Team,19.68,Bank Reversal Delay,Negative
DSP-0254,CUST-4492,TXN-818699,2026-04-19,Wallet,Duplicate Debit,75.43,Transport,Pending,I was charged twice for the same payment of £75.43.,No,Medium,Manual Review,Resolved,5,15,Yes,Refund Team,56.57,Duplicate Processing,Negative
DSP-0255,CUST-2433,TXN-176806,2026-01-14,Card,Duplicate Debit,111.24,Bills & Utilities,Failed,I was charged twice for the same payment of £111.24.,Yes,Low,Eligible,Resolved,5,7,Yes,Refund Team,111.24,Duplicate Processing,Negative
DSP-0256,CUST-1745,TXN-834928,2026-01-19,Card,Refund Delay,15.25,Subscription,Success,The merchant said the refund was processed but I have not received it.,No,Medium,Manual Review,Resolved,7,9,Yes,Refund Team,0,Merchant Settlement Delay,Negative
DSP-0257,CUST-8765,TXN-263917,2026-05-17,Card,Wrong Amount Debited,17.87,Travel,Failed,The wrong amount was debited from my account. Please investigate.,No,Medium,Manual Review,Open,5,9,Yes,Payment Operations,0,Customer Input Error,Negative
DSP-0258,CUST-1684,TXN-105274,2026-05-27,Bank Transfer,Merchant Not Credited,103.28,E-commerce,Failed,The money left my account but the merchant says they did not receive it.,No,Medium,Manual Review,Resolved,7,10,Yes,Merchant Support,0,Merchant Settlement Delay,Negative
DSP-0259,CUST-3637,TXN-292930,2026-02-26,Bank Transfer,Duplicate Debit,7.33,Subscription,Pending,I was charged twice for the same payment of £7.33.,No,Medium,Manual Review,Resolved,5,17,Yes,Refund Team,5.5,Duplicate Processing,Negative
DSP-0260,CUST-5107,TXN-202972,2026-02-20,Wallet,Refund Delay,30.48,E-commerce,Success,My refund of £30.48 is still pending after several days.,Yes,Medium,Manual Review,In Review,7,2,No,Refund Team,0,Bank Reversal Delay,Positive
DSP-0261,CUST-6379,TXN-746281,2026-03-20,Wallet,Failed Payment,67.16,Bills & Utilities,Success,The transaction failed and I still cannot see my money returned.,Yes,Medium,Manual Review,Resolved,5,4,No,Payment Operations,67.16,Gateway Timeout,Positive
DSP-0262,CUST-8583,TXN-566991,2026-04-02,Wallet,Refund Delay,8.09,Food Delivery,Pending,The merchant said the refund was processed but I have not received it.,No,Medium,Manual Review,Open,7,4,No,Refund Team,0,Bank Reversal Delay,Positive
DSP-0263,CUST-2235,TXN-119535,2026-05-10,Bank Transfer,Unauthorised Transaction,66.59,Retail,Pending,I do not recognise this transaction and did not authorise it.,Yes,High,Manual Review,Resolved,10,13,Yes,Fraud Review,49.94,Manual Follow-up Delay,Negative
DSP-0264,CUST-5767,TXN-240384,2026-04-29,Bank Transfer,Failed Payment,62.57,Retail,Success,The transaction failed and I still cannot see my money returned.,No,Medium,Manual Review,Open,5,6,Yes,Payment Operations,0,System Mapping Error,Negative
DSP-0265,CUST-6878,TXN-142383,2026-02-26,Wallet,Duplicate Debit,25.83,E-commerce,Success,There are two debits for one order. Please refund the duplicate amount.,No,Medium,Manual Review,Resolved,5,6,Yes,Refund Team,25.83,Duplicate Processing,Negative
DSP-0266,CUST-2691,TXN-837920,2026-05-14,Bank Transfer,Duplicate Debit,93.42,Subscription,Success,There are two debits for one order. Please refund the duplicate amount.,Yes,Low,Eligible,Resolved,5,5,No,Refund Team,93.42,Duplicate Processing,Neutral
DSP-0267,CUST-7165,TXN-333726,2026-05-13,Card,Unauthorised Transaction,13.6,Subscription,Success,I do not recognise this transaction and did not authorise it.,No,High,Manual Review,Resolved,10,14,Yes,Fraud Review,6.8,Customer Evidence Missing,Negative
DSP-0268,CUST-6934,TXN-731264,2026-01-31,Wallet,Refund Delay,30.59,E-commerce,Success,The merchant said the refund was processed but I have not received it.,Yes,Medium,Manual Review,Resolved,7,7,No,Refund Team,15.29,Bank Reversal Delay,Neutral
DSP-0269,CUST-3639,TXN-241268,2026-05-12,Card,Merchant Not Credited,16.89,Retail,Failed,The money left my account but the merchant says they did not receive it.,Yes,Medium,Manual Review,Resolved,7,4,No,Merchant Support,0,Gateway Timeout,Neutral
DSP-0270,CUST-8359,TXN-735988,2026-05-01,Open Banking,Failed Payment,135.22,Transport,Failed,The transaction failed and I still cannot see my money returned.,No,Medium,Manual Review,Resolved,5,4,No,Payment Operations,135.22,System Mapping Error,Positive
DSP-0271,CUST-2127,TXN-340977,2026-04-07,Card,Failed Payment,40.89,Retail,Failed,My payment of £40.89 failed but the money was debited.,Yes,Medium,Eligible,Resolved,5,1,No,Payment Operations,40.89,System Mapping Error,Neutral
DSP-0272,CUST-8901,TXN-791423,2026-02-03,Open Banking,Merchant Not Credited,63.94,Bills & Utilities,Success,I paid successfully but the merchant has no confirmation.,Yes,Medium,Manual Review,Resolved,7,4,No,Merchant Support,0,Gateway Timeout,Positive
DSP-0273,CUST-6742,TXN-717661,2026-05-28,Card,Failed Payment,38.73,Transport,Success,My payment of £38.73 failed but the money was debited.,Yes,Medium,Manual Review,Resolved,5,4,No,Payment Operations,0,System Mapping Error,Neutral
DSP-0274,CUST-7144,TXN-786341,2026-02-22,Wallet,Duplicate Debit,31.89,E-commerce,Failed,There are two debits for one order. Please refund the duplicate amount.,Yes,Low,Eligible,Resolved,5,4,No,Refund Team,31.89,Duplicate Processing,Positive
DSP-0275,CUST-7511,TXN-891645,2026-02-22,Card,Unauthorised Transaction,38.84,Subscription,Failed,I do not recognise this transaction and did not authorise it.,No,High,Manual Review,Resolved,10,11,Yes,Fraud Review,0,Manual Follow-up Delay,Negative
DSP-0276,CUST-8317,TXN-921149,2026-02-11,Card,Refund Delay,328.57,Subscription,Failed,The merchant said the refund was processed but I have not received it.,Yes,Medium,Manual Review,Resolved,7,9,Yes,Refund Team,0,Bank Reversal Delay,Negative
DSP-0277,CUST-3381,TXN-594580,2026-04-22,Card,Duplicate Debit,24.98,E-commerce,Success,I was charged twice for the same payment of £24.98.,No,Medium,Manual Review,Resolved,5,6,Yes,Refund Team,0,Duplicate Processing,Negative
DSP-0278,CUST-9099,TXN-560295,2026-01-03,Card,Merchant Not Credited,75.24,Food Delivery,Pending,The money left my account but the merchant says they did not receive it.,Yes,Medium,Manual Review,Resolved,7,5,No,Merchant Support,37.62,Gateway Timeout,Positive
DSP-0279,CUST-1004,TXN-265092,2026-01-23,Open Banking,Unauthorised Transaction,28.39,Subscription,Success,This payment was made without my permission.,Yes,High,Manual Review,Resolved,10,12,Yes,Fraud Review,0,Manual Follow-up Delay,Negative
DSP-0280,CUST-6693,TXN-955129,2026-03-12,Card,Chargeback Request,36.21,Food Delivery,Success,"The merchant refused refund, so I need a chargeback review.",Yes,Medium,Manual Review,Resolved,10,6,No,Payment Operations,27.16,Merchant Settlement Delay,Neutral
DSP-0281,CUST-9813,TXN-952646,2026-05-28,Card,Refund Delay,28.58,Retail,Failed,My refund of £28.58 is still pending after several days.,No,Medium,Manual Review,In Review,7,6,No,Refund Team,0,Merchant Settlement Delay,Neutral
DSP-0282,CUST-2106,TXN-501261,2026-02-26,Wallet,Duplicate Debit,41.44,Transport,Success,I was charged twice for the same payment of £41.44.,Yes,Low,Eligible,Resolved,5,1,No,Refund Team,41.44,Duplicate Processing,Positive
DSP-0283,CUST-3924,TXN-599704,2026-03-22,Card,APP Scam Claim,40.37,E-commerce,Success,I was tricked into sending money and need urgent help.,Yes,High,Manual Review,Resolved,10,11,Yes,Fraud Review,20.18,Fraud Indicator,Negative
DSP-0284,CUST-2285,TXN-808640,2026-05-07,Bank Transfer,Unauthorised Transaction,43.08,Bills & Utilities,Success,I do not recognise this transaction and did not authorise it.,Yes,High,Manual Review,In Review,10,13,Yes,Fraud Review,0,Manual Follow-up Delay,Negative
DSP-0285,CUST-9374,TXN-393880,2026-04-12,Card,Merchant Not Credited,37.76,Subscription,Success,The money left my account but the merchant says they did not receive it.,No,Medium,Manual Review,Resolved,7,9,Yes,Merchant Support,18.88,Merchant Settlement Delay,Negative
DSP-0286,CUST-4452,TXN-497859,2026-05-29,Card,Refund Delay,77.41,Travel,Success,My refund of £77.41 is still pending after several days.,Yes,Medium,Manual Review,Resolved,7,6,No,Refund Team,58.06,Manual Follow-up Delay,Neutral
DSP-0287,CUST-7099,TXN-482812,2026-04-13,Card,Failed Payment,11.38,Retail,Pending,The transaction failed and I still cannot see my money returned.,No,Medium,Manual Review,Resolved,5,3,No,Payment Operations,0,Gateway Timeout,Neutral
DSP-0288,CUST-1159,TXN-285186,2026-04-18,Bank Transfer,Chargeback Request,116.14,E-commerce,Success,The service was not provided and I want to raise a chargeback.,Yes,Medium,Manual Review,Resolved,10,3,No,Payment Operations,0,Customer Evidence Missing,Positive
DSP-0289,CUST-3676,TXN-162952,2026-02-25,Wallet,Refund Delay,57.07,Travel,Success,The merchant said the refund was processed but I have not received it.,Yes,Medium,Manual Review,Resolved,7,8,Yes,Refund Team,57.07,Manual Follow-up Delay,Negative
DSP-0290,CUST-9821,TXN-283017,2026-03-14,Card,Wrong Amount Debited,37.74,Food Delivery,Success,I authorised a lower amount but a higher amount was taken.,No,Medium,Manual Review,Awaiting Evidence,5,5,No,Payment Operations,0,System Mapping Error,Positive
DSP-0291,CUST-7631,TXN-990136,2026-01-19,Card,Refund Delay,18.47,E-commerce,Success,My refund of £18.47 is still pending after several days.,No,Medium,Manual Review,Awaiting Evidence,7,9,Yes,Refund Team,0,Merchant Settlement Delay,Negative
DSP-0292,CUST-7782,TXN-275445,2026-02-17,Open Banking,Failed Payment,24.12,E-commerce,Failed,My payment of £24.12 failed but the money was debited.,Yes,Medium,Eligible,Resolved,5,2,No,Payment Operations,24.12,Gateway Timeout,Neutral
DSP-0293,CUST-8752,TXN-675074,2026-01-14,Card,Refund Delay,61.65,Travel,Failed,The merchant said the refund was processed but I have not received it.,Yes,Medium,Manual Review,Resolved,7,5,No,Refund Team,0,Merchant Settlement Delay,Neutral
DSP-0294,CUST-1468,TXN-136862,2026-04-02,Open Banking,Duplicate Debit,10.08,Subscription,Pending,There are two debits for one order. Please refund the duplicate amount.,Yes,Low,Eligible,Resolved,5,5,No,Refund Team,10.08,Duplicate Processing,Neutral
DSP-0295,CUST-8126,TXN-648887,2026-05-17,Card,Refund Delay,54.39,Bills & Utilities,Success,My refund of £54.39 is still pending after several days.,Yes,Medium,Manual Review,Open,7,5,No,Refund Team,0,Bank Reversal Delay,Positive
DSP-0296,CUST-8687,TXN-661091,2026-01-03,Wallet,Refund Delay,68.85,Transport,Success,The merchant said the refund was processed but I have not received it.,No,Medium,Manual Review,Awaiting Evidence,7,6,No,Refund Team,0,Bank Reversal Delay,Positive
DSP-0297,CUST-7745,TXN-687783,2026-04-22,Card,Failed Payment,71.28,Bills & Utilities,Success,The transaction failed and I still cannot see my money returned.,No,Medium,Manual Review,Awaiting Evidence,5,6,Yes,Payment Operations,0,System Mapping Error,Negative
DSP-0298,CUST-5664,TXN-779956,2026-05-17,Wallet,Refund Delay,75.98,Travel,Success,The merchant said the refund was processed but I have not received it.,Yes,Medium,Manual Review,Resolved,7,11,Yes,Refund Team,0,Merchant Settlement Delay,Negative
